dtran,namount,cdesc,cmemo,lwriteoff,dcleared,ntransno,cbankid,cbankname,cgl_acct,cgl_desc
7/1/2025,13927.48,,Humana,F,/  /,7108,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,15148.19,,MCR,F,/  /,7111,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,4217.54,,Wellmed CC,F,/  /,7112,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,11286.17,,Wellmed CC,F,/  /,7113,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,345,,CC,F,/  /,7123,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,1639.05,,UHC,F,/  /,7125,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,92666.42,,UHC,F,/  /,7126,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,39269.09,,UHC,F,/  /,7127,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,4400,,UHC,F,/  /,7128,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,30,,RFMS,F,/  /,7130,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,25715.2,,Sunshine,F,/  /,7140,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,6587.97,,Humana,F,/  /,7145,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,2581.65,,Humana,F,/  /,7151,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,7056.9,,UHC,F,/  /,7189,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,0,,adj,F,/  /,7204,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/1/2025,0,,adj,F,/  /,7220,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/2/2025,1961.37,,MCD,F,/  /,7110,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/2/2025,2304.5,,Deposit,F,/  /,7139,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/3/2025,5280,,UHC,F,/  /,7129,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/3/2025,23145,,RFMS,F,/  /,7148,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/4/2025,717,,Sunshine,F,/  /,7152,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
7/4/2025,0,,UCH,F,/  /,7155,   9pX,Bank1,1010-409-00,Accounts Receivable>clear
