Record Type,Account Number,Account Name,Date,Credit Amount,Debit Amount,Code,Description,Reference,Memo
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,77128.88,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,307.26,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,51903.88,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,307.26,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,47804.99,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/31/2025,124626.61,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/31/2025,39160,,142,DDA ACH Deposit,88051,FH Medicare HAX HCCLAIMPMT TRN*1*XXXXX5474*1412128275\
Detail,41927018,Atlantic Care Clearing Account,7/31/2025,6111.7,,142,DDA ACH Deposit,165953,Ultimate Health HCCLAIMPMT TRN*1*2000020879*1453706770*07
Detail,41927018,Atlantic Care Clearing Account,7/31/2025,1558.04,,142,DDA ACH Deposit,236140,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/31/2025,667.99,,142,DDA ACH Deposit,150720,AARP Supplementa HCCLAIMPMT TRN*1*11291049218*1362739571*0
Detail,41927018,Atlantic Care Clearing Account,7/31/2025,,124626.61,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/31/2025,307.26,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,28263,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,77128.88,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,51903.88,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/30/2025,25225,,072,1 - Day Float,,
